Codedinfraction;Datecreationevn;Datefermeture;DateDebutInfraction;Anneedinfraction;Moisdinfraction;Direction;Secteurlot;Numerodevenement;equipe;Heuredebut;montantDommage;InscriptionauMIP;Codemunicipal;Nombredepersonnesaudossier;Nombredevehiculesaudossier;Numerocivique;Province;Typederue2;Typederue;Rue;Rue2;Anneeenrg.Dossier;Moisenrg.Dossier;Dateenrg.Dossier;PDQ;Vehicule-annee;Vehiculecouleur1;Vehiculegenre;Province_1;Vehicule-style;Vehicule-compagnieassurance;Vehicule-marque;Vehicule-modele;Vehicule-description
DelitdefuiteCSR;16/07/2015;19/07/2015;16/07/2015;2015;7;AB46;67;LVL150716078;2;22:27:00;67;19/07/2015;65005;4;1;0;QUE;RUE;AUTORO;PAPINEAUA-19;SAINT-SAENSEST;2015;7;16;PDQ6;;;;;;;;;
DelitdefuiteCSR;16/07/2015;31/07/2015;16/07/2015;2015;7;CE59;36;LVL150716019;2;09:00:00;36;31/07/2015;65005;1;1;4375;QUE;;BOULEV;NOTRE-DAME;;2015;7;16;PDQ3;;;;;;;;;
DelitdefuiteCSR;16/07/2015;31/07/2015;15/07/2015;2015;7;DH71;21;LVL150716032;;11:30:00;21;31/07/2015;65005;1;1;279;QUE;;BOULEV;CARTIEROUEST;;2015;7;16;PDQ2;;;;;;;;;
Collisionavecblesse;15/07/2015;;15/07/2015;2015;7;AB47;67;LVL150715044;1;14:29:00;67;31/07/2015;65005;5;2;90;QUE;;RUE;SELLIER;;2015;7;15;PDQ6;2005;;AUTO;QUE;;LaPersonnelle;HOND;CIVI;Moyen
Collisionavecblesse;15/07/2015;;15/07/2015;2015;7;CE27;67;LVL150715044;1;14:29:00;67;31/07/2015;65005;5;2;90;QUE;;RUE;SELLIER;;2015;7;15;PDQ6;1989;;CAMIO;QUE;;;GMC;JIMM;Moyen
Collisionavecblesse;15/07/2015;16/07/2015;15/07/2015;2015;7;DH39;24;LVL150715007;3;03:15:00;24;24/07/2015;65005;2;2;437;QUE;;RUE;NOTRE-DAME-DE-FATIMA;;2015;7;15;PDQ2;2014;;AUTO;QUE;;;HYUN;;Moyen
Collisionavecblesse;15/07/2015;16/07/2015;15/07/2015;2015;7;AB15;24;LVL150715007;3;03:15:00;24;24/07/2015;65005;2;2;437;QUE;;RUE;NOTRE-DAME-DE-FATIMA;;2015;7;15;PDQ2;2004;;AUTO;QUE;;;HYUN;;Moyen
Collisionavecblesse;15/07/2015;31/07/2015;15/07/2015;2015;7;CE28;36;LVL150715034;5;11:35:00;36;31/07/2015;65005;2;2;1168;QUE;;BOULEV;CURE-LABELLE;;2015;7;15;PDQ3;2007;;AUTO;QUE;;AVIVA;TOYO;;Moyen
Collisionavecblesse;15/07/2015;18/07/2015;15/07/2015;2015;7;DH40;37;LVL150715057;5;17:10:00;37;18/07/2015;65005;4;2;0;QUE;BOULEV;RUE;CUNARD;LECORBUSIER;2015;7;15;PDQ3;2013;;AUTO;QUE;;ZURICHINSURANCECOMPANY;FORD;;Moyen
DelitdefuiteCSR;15/07/2015;31/07/2015;14/07/2015;2015;7;AB16;24;LVL150715056;;10:30:00;24;31/07/2015;65005;1;1;635;QUE;;BOULEV;DESLAURENTIDES;;2015;7;15;PDQ2;;;;;;;;;
Collisionavecblesse;15/07/2015;18/07/2015;15/07/2015;2015;7;CE29;37;LVL150715057;5;17:10:00;37;18/07/2015;65005;4;2;0;QUE;BOULEV;RUE;CUNARD;LECORBUSIER;2015;7;15;PDQ3;2006;;AUTO;QUE;;DESJARDINS;CHEV;;Moyen
Collisionavecblesse;15/07/2015;18/07/2015;15/07/2015;2015;7;DH41;33;LVL150715055;5;16:53:00;33;18/07/2015;65005;3;2;0;QUE;BOULEV;PROMEN;DESILES;SAMSON;2015;7;15;PDQ3;2010;;AUTO;QUE;;SSQASSURANCES;HOND;;Moyen
Collisionmateriellede2000et-;15/07/2015;19/07/2015;15/07/2015;2015;7;AB17;47;LVL150715060;5;17:10:00;47;19/07/2015;65005;4;2;0;QUE;RUE;BOULEV;SAINTE-ROSE;ODILE;2015;7;15;PDQ4;2015;;AUTO;QUE;;DESJARDINS;MAZD;;Moyen
DelitdefuiteCSR;15/07/2015;31/07/2015;01/07/2015;2015;7;CE30;28;LVL150715062;1;18:00:00;28;31/07/2015;65005;1;1;0;QUE;BOULEV;RUE;LAMER;DESLAURENTIDES;2015;7;15;PDQ2;;;;;;;;;
Collisionavecblesse;15/07/2015;18/07/2015;15/07/2015;2015;7;DH42;33;LVL150715055;5;16:53:00;33;18/07/2015;65005;3;2;0;QUE;BOULEV;PROMEN;DESILES;SAMSON;2015;7;15;PDQ3;2007;;AUTO;QUE;;;HOND;;Moyen
Collisionavecblesse;15/07/2015;31/07/2015;15/07/2015;2015;7;AB18;36;LVL150715034;5;11:35:00;36;31/07/2015;65005;2;2;1168;QUE;;BOULEV;CURE-LABELLE;;2015;7;15;PDQ3;2010;;AUTO;QUE;;lacapitale;toyo;;Moyen
Collisionmateriellede2000et-;15/07/2015;19/07/2015;15/07/2015;2015;7;CE31;47;LVL150715060;5;17:10:00;47;19/07/2015;65005;4;2;0;QUE;RUE;BOULEV;SAINTE-ROSE;ODILE;2015;7;15;PDQ4;2005;;AUTO;QUE;;;NISS;SENT;Moyen
DelitdefuiteCSR;14/07/2015;31/07/2015;12/07/2015;2015;7;DH43;31;LVL150714029;;16:00:00;31;31/07/2015;65005;1;1;169;QUE;;AVENUE;DUPACIFIQUE;;2015;7;14;PDQ2;;;;;;;;;
DelitdefuiteCSR;14/07/2015;31/07/2015;13/07/2015;2015;7;AB19;21;LVL150714081;4;18:00:00;21;31/07/2015;65005;1;1;279;QUE;;RUE;4E;;2015;7;14;PDQ2;;;;;;;;;
DelitdefuiteCSR;14/07/2015;31/07/2015;14/07/2015;2015;7;CE32;32;LVL150714037;;;32;31/07/2015;65005;1;1;3075;QUE;;BOULEV;CARTIEROUEST;;2015;7;14;PDQ3;;;;;;;;;
DelitdefuiteCSR;14/07/2015;31/07/2015;14/07/2015;2015;7;DH44;31;LVL150714039;;12:25:00;31;31/07/2015;65005;3;1;0;QUE;AVENUE;BOULEV;CARTIEROUEST;DUSSAULT;2015;7;14;PDQ2;;;;;;;;;
DelitdefuiteCSR;14/07/2015;31/07/2015;11/07/2015;2015;7;AB20;25;LVL150714054;4;;25;31/07/2015;65005;1;1;0;QUE;RUE;RUE;CHAMPLAIN;DAUVERGNE;2015;7;14;PDQ2;;;;;;;;;
Collisionmateriellede+de2000;14/07/2015;14/07/2015;06/07/2015;2015;7;CE66;38;LVL150714019;4;17:00:00;38;14/07/2015;65005;2;2;3035;QUE;;BOULEV;LECARREFOUR;;2015;7;14;PDQ3;2015;BLA;AUTO;QUE;;;HOND;CIVI;Petit
Collisionmateriellede+de2000;14/07/2015;14/07/2015;06/07/2015;2015;7;DH78;38;LVL150714019;4;17:00:00;38;14/07/2015;65005;2;2;3035;QUE;;BOULEV;LECARREFOUR;;2015;7;14;PDQ3;2008;GRI;AUTO;QUE;;;HOND;ACCO;Moyen
Collisionmateriellede+de2000;14/07/2015;16/07/2015;14/07/2015;2015;7;AB54;47;LVL150714023;;09:10:00;47;16/07/2015;65005;4;2;0;QUE;RUE;BOULEV;SAINTE-ROSE;ODILE;2015;7;14;PDQ4;2013;;AUTO;QUE;;;lexu;rx;Moyen
Collisionmateriellede+de2000;14/07/2015;16/07/2015;14/07/2015;2015;7;CE67;47;LVL150714023;;09:10:00;47;16/07/2015;65005;4;2;0;QUE;RUE;BOULEV;SAINTE-ROSE;ODILE;2015;7;14;PDQ4;2000;;CAMIO;QUE;;;gmc;sier;Moyen
Collisionavecblesse;14/07/2015;;14/07/2015;2015;7;DH79;51;LVL150714076;5;;51;15/07/2015;65005;2;1;0;QUE;BOULEV;BOULEV;SAINT-ELZEAROUEST;LECORBUSIER;2015;7;14;PDQ3;2015;;AUTO;QUE;;;TOYO;;Moyen
Collisionavecblesse;14/07/2015;15/07/2015;14/07/2015;2015;7;AB55;34;LVL150714053;1;14:49:00;34;15/07/2015;65005;4;2;1925;QUE;;BOULEV;SAINT-MARTINOUEST;;2015;7;14;PDQ2;2015;;AUTO;QUE;;INTACTASSURANCE;AUDI;;Moyen
Collisionavecblesse;14/07/2015;15/07/2015;14/07/2015;2015;7;CE68;34;LVL150714053;1;14:49:00;34;15/07/2015;65005;4;2;1925;QUE;;BOULEV;SAINT-MARTINOUEST;;2015;7;14;PDQ2;2006;;AUTO;QUE;;DESJARDINS;VOLK;;Moyen
Collisionavecblesse;13/07/2015;14/07/2015;13/07/2015;2015;7;DH80;48;LVL150713072;4;21:40:00;48;17/07/2015;65005;3;2;4800;QUE;;BOULEV;DAGENAISOUEST;;2015;7;13;PDQ4;2014;;MOTO;QUE;;;KAWA;;Moyen
Collisionavecblesse;13/07/2015;16/07/2015;13/07/2015;2015;7;AB56;48;LVL150713054;;17:00:00;48;16/07/2015;65005;3;2;7975;QUE;;BOULEV;ARTHUR-SAUVE;;2015;7;13;PDQ4;2005;;AUTO;QUE;;;suzu;;Moyen
DelitdefuiteCSR;13/07/2015;30/07/2015;13/07/2015;2015;7;DH70;26;LVL150713025;;11:25:00;26;30/07/2015;65005;1;1;3595;QUE;;BOULEV;DELACONCORDEEST;;2015;7;13;PDQ2;;;;;;;;;
DelitdefuiteCSR;13/07/2015;16/07/2015;13/07/2015;2015;7;AB46;24;LVL150713065;4;19:10:00;24;16/07/2015;65005;1;1;300;QUE;;BOULEV;DELACONCORDEEST;;2015;7;13;PDQ2;;;;;;;;;
Collisionavecblesse;13/07/2015;14/07/2015;13/07/2015;2015;7;CE59;35;LVL150713015;4;09:35:00;35;14/07/2015;65005;2;1;1550;QUE;;BOULEV;DANIEL-JOHNSON;;2015;7;13;PDQ3;2006;;AUTO;QUE;;;SUBA;;Moyen
Collisionavecblesse;13/07/2015;14/07/2015;13/07/2015;2015;7;DH71;48;LVL150713072;4;21:40:00;48;17/07/2015;65005;3;2;4800;QUE;;BOULEV;DAGENAISOUEST;;2015;7;13;PDQ4;2002;;AUTO;QUE;;LACAPITALE;MAZD;;Moyen
Incendiedevehiculeenmouvement;13/07/2015;14/07/2015;13/07/2015;2015;7;AB47;52;LVL150713051;5;17:00:00;52;22/07/2015;65005;2;1;2890;QUE;;BOULEV;DAGENAISOUEST;;2015;7;13;PDQ5;2000;BLA;CAMIO;QUE;;;FREI;MCV;Grand
DelitdefuiteCSR;13/07/2015;31/07/2015;12/07/2015;2015;7;CE27;55;LVL150713045;;13:00:00;55;31/07/2015;65005;1;1;4240;QUE;;BOULEV;LECORBUSIER;;2015;7;13;PDQ5;;;;;;;;;
Collisionmateriellede+de2000;13/07/2015;14/07/2015;13/07/2015;2015;7;DH39;33;LVL150713061;4;17:00:00;33;17/07/2015;65005;2;2;4750;QUE;;BOULEV;SAMSON;;2015;7;13;PDQ3;2005;;AUTO;QUE;;;TOYO;;Moyen
Collisionavecblesse;13/07/2015;16/07/2015;13/07/2015;2015;7;AB15;48;LVL150713054;;17:00:00;48;16/07/2015;65005;3;2;7975;QUE;;BOULEV;ARTHUR-SAUVE;;2015;7;13;PDQ4;2009;;AUTO;QUE;;;mits;;Moyen
Collisionavecblesse;13/07/2015;;13/07/2015;2015;7;CE28;52;LVL150713012;4;;52;22/07/2015;65005;2;2;2801;QUE;;BOULEV;SAINT-ELZEAROUEST;;2015;7;13;PDQ5;1999;;AUTO;QUE;;;HYUN;ACCE;Moyen
Collisionavecblesse;13/07/2015;;13/07/2015;2015;7;DH40;52;LVL150713012;4;;52;22/07/2015;65005;2;2;2801;QUE;;BOULEV;SAINT-ELZEAROUEST;;2015;7;13;PDQ5;2014;;CAMIO;QUE;;;DODG;RAM;Moyen
Collisionavecblesse;13/07/2015;14/07/2015;13/07/2015;2015;7;AB16;36;LVL150713029;4;13:00:00;36;17/07/2015;65005;3;2;0;QUE;RUE;RUE;MARQUIS;MERCANTILE;2015;7;13;PDQ3;2008;;AUTO;QUE;;;KIA;;Moyen
Collisionavecblesse;13/07/2015;14/07/2015;13/07/2015;2015;7;CE29;36;LVL150713029;4;13:00:00;36;17/07/2015;65005;3;2;0;QUE;RUE;RUE;MARQUIS;MERCANTILE;2015;7;13;PDQ3;2014;;AUTO;QUE;;INTACTASSURANCE;BMW;;Moyen
Collisionavecblesse;13/07/2015;14/07/2015;13/07/2015;2015;7;DH41;38;LVL150713052;5;15:53:00;38;14/07/2015;65005;4;2;0;QUE;AVENUE;BOULEV;LECARREFOUR;TERRY-FOX;2015;7;13;PDQ3;2000;;AUTO;QUE;;;VOLV;S80;Moyen
Collisionavecblesse;13/07/2015;14/07/2015;13/07/2015;2015;7;AB17;38;LVL150713052;5;15:53:00;38;14/07/2015;65005;4;2;0;QUE;AVENUE;BOULEV;LECARREFOUR;TERRY-FOX;2015;7;13;PDQ3;2014;GRI;AUTO;QUE;;;BMW;535I;Moyen
Collisionavecblesse;13/07/2015;14/07/2015;13/07/2015;2015;7;CE30;57;LVL150713060;4;18:45:00;57;17/07/2015;65005;2;2;0;QUE;RUE;BOULEV;CURE-LABELLE;CLOUTIER;2015;7;13;PDQ5;1997;NOI;AUTO;QUE;;;BMW;328I;Moyen
Collisionavecblesse;13/07/2015;14/07/2015;13/07/2015;2015;7;DH42;57;LVL150713060;4;18:45:00;57;17/07/2015;65005;2;2;0;QUE;RUE;BOULEV;CURE-LABELLE;CLOUTIER;2015;7;13;PDQ5;2006;GRI;AUTO;QUE;;;ACUR;TL;Moyen
Collisionavecblesse;13/07/2015;19/07/2015;13/07/2015;2015;7;AB18;34;LVL150713046;5;15:53:00;34;19/07/2015;65005;4;2;0;QUE;CHEMIN;BOULEV;CURE-LABELLE;DUSOUVENIR;2015;7;13;PDQ2;2004;GRI;AUTO;QUE;;;HOND;ACCO;Moyen
Collisionavecblesse;13/07/2015;19/07/2015;13/07/2015;2015;7;CE31;34;LVL150713046;5;15:53:00;34;19/07/2015;65005;4;2;0;QUE;CHEMIN;BOULEV;CURE-LABELLE;DUSOUVENIR;2015;7;13;PDQ2;2007;BGE;AUTO;QUE;;;MAZD;3;Petit
Collisionmateriellede+de2000;13/07/2015;14/07/2015;13/07/2015;2015;7;DH43;33;LVL150713061;4;17:00:00;33;17/07/2015;65005;2;2;4750;QUE;;BOULEV;SAMSON;;2015;7;13;PDQ3;2014;;AUTO;QUE;;AVIVA;TOYO;;Moyen
Collisionavecblesse;12/07/2015;;12/07/2015;2015;7;AB19;26;LVL150712015;1;05:54:00;26;13/07/2015;65005;1;1;3801;QUE;;BOULEV;LEVESQUEEST;;2015;7;12;PDQ2;2014;;AUTO;QUE;;INTACTASSURANCE;VOLK;JETT;Moyen
Collisionavecblesse;12/07/2015;;12/07/2015;2015;7;CE32;67;LVL150712051;4;19:40:00;67;13/07/2015;65005;3;2;6257;QUE;;BOULEV;DESLAURENTIDES;;2015;7;12;PDQ6;2009;;AUTO;QUE;;BANQUENATIONALE;HOND;ACCO;Moyen
Collisionavecblesse;12/07/2015;30/07/2015;12/07/2015;2015;7;DH44;22;LVL150712035;1;15:00:00;22;30/07/2015;65005;2;2;0;QUE;BOULEV;CHEMIN;DELABRETAGNE;DELACONCORDEEST;2015;7;12;PDQ2;;;AUTRE;QUE;;;garn;velo;Petit
Collisionavecblesse;12/07/2015;30/07/2015;12/07/2015;2015;7;AB20;22;LVL150712035;1;15:00:00;22;30/07/2015;65005;2;2;0;QUE;BOULEV;CHEMIN;DELABRETAGNE;DELACONCORDEEST;2015;7;12;PDQ2;2010;;AUTO;QUE;;;volk;;Moyen
Collisionmateriellede+de2000;12/07/2015;16/07/2015;12/07/2015;2015;7;CE66;53;LVL150712013;3;;53;16/07/2015;65005;3;1;3498;QUE;;BOULEV;DAGENAISOUEST;;2015;7;12;PDQ5;2015;;AUTO;QUE;;;DODG;;Moyen
DelitdefuiteCSR;12/07/2015;15/07/2015;12/07/2015;2015;7;CE77;32;LVL150712058;1;;32;15/07/2015;65005;1;1;456;QUE;;AVENUE;61E;;2015;7;12;PDQ3;;;;;;;;;
DelitdefuiteCSR;12/07/2015;31/07/2015;11/07/2015;2015;7;DH89;39;LVL150712032;1;20:00:00;39;31/07/2015;65005;1;1;2710;QUE;;RUE;JUSTINE-LACOSTE;;2015;7;12;PDQ3;;;;;;;;;
Collisionavecblesse;12/07/2015;;12/07/2015;2015;7;AB65;67;LVL150712051;4;19:40:00;67;13/07/2015;65005;3;2;6257;QUE;;BOULEV;DESLAURENTIDES;;2015;7;12;PDQ6;2003;;AUTO;QUE;;;HOND;CIVI;Moyen
Collisionavecblesse;11/07/2015;13/07/2015;11/07/2015;2015;7;CE78;27;LVL150711032;4;12:58:00;27;20/07/2015;65005;2;1;4425;QUE;;BOULEV;DELACONCORDEEST;;2015;7;11;PDQ1;2006;;AUTO;QUE;;INTACTASSURANCE;MERZ;B200;Moyen
Collisionavecblesse;11/07/2015;25/07/2015;11/07/2015;2015;7;DH90;57;LVL150711046;1;17:15:00;57;25/07/2015;65005;8;2;21;QUE;;BOULEV;CURE-LABELLE;;2015;7;11;PDQ5;2005;;AUTO;QUE;;;CHEV;MALI;Moyen
Collisionavecblesse;11/07/2015;25/07/2015;11/07/2015;2015;7;AB66;57;LVL150711046;1;17:15:00;57;25/07/2015;65005;8;2;21;QUE;;BOULEV;CURE-LABELLE;;2015;7;11;PDQ5;2014;;AUTO;QUE;;;JEEP;GRAN;Moyen
Collisionavecblesse;11/07/2015;13/07/2015;11/07/2015;2015;7;CE79;51;LVL150711028;4;12:10:00;51;13/07/2015;65005;4;3;1870;QUE;;RUE;MICHELIN;;2015;7;11;PDQ3;2000;;REMO;QUE;;;MANA;9425;Moyen
Collisionavecblesse;11/07/2015;13/07/2015;11/07/2015;2015;7;DH91;51;LVL150711028;4;12:10:00;51;13/07/2015;65005;4;3;1870;QUE;;RUE;MICHELIN;;2015;7;11;PDQ3;2011;;CAMIO;QUE;;;VOLV;VN;Moyen
Collisionavecblesse;11/07/2015;13/07/2015;11/07/2015;2015;7;AB67;51;LVL150711028;4;12:10:00;51;13/07/2015;65005;4;3;1870;QUE;;RUE;MICHELIN;;2015;7;11;PDQ3;2014;;AUTO;QUE;;LAPERSONNELLE;NISS;ROGU;Moyen
Collisionmateriellede+de2000;11/07/2015;16/07/2015;11/07/2015;2015;7;CE80;41;LVL150711035;2;13:40:00;41;16/07/2015;65005;3;2;700;QUE;;VOIE;CHOMEDEYA-13;;2015;7;11;PDQ4;2012;;AUTO;QUE;;BELAIRDIRECT;toyo;;Moyen
Collisionmateriellede+de2000;11/07/2015;16/07/2015;11/07/2015;2015;7;DH92;41;LVL150711035;2;13:40:00;41;16/07/2015;65005;3;2;700;QUE;;VOIE;CHOMEDEYA-13;;2015;7;11;PDQ4;2014;;CAMIO;QUE;;Intact;jeep;;Moyen
Collisionmateriellede+de2000;11/07/2015;16/07/2015;11/07/2015;2015;7;AB68;61;LVL150711023;1;09:50:00;61;16/07/2015;65005;2;2;1811;QUE;;BOULEV;DESLAURENTIDES;;2015;7;11;PDQ6;1997;;CAMIO;QUE;;ECONOMICAL;FORD;COF;Moyen
Collisionmateriellede+de2000;11/07/2015;16/07/2015;11/07/2015;2015;7;CE81;61;LVL150711023;1;09:50:00;61;16/07/2015;65005;2;2;1811;QUE;;BOULEV;DESLAURENTIDES;;2015;7;11;PDQ6;2007;;AUTO;QUE;;Intact;hond;civi;Moyen
Collisionavecblesse;10/07/2015;11/07/2015;10/07/2015;2015;7;DH93;66;LVL150710049;1;18:50:00;66;16/07/2015;65005;2;1;0;QUE;RANG;BOULEV;DESGRANDS-MAITRES;SAINT-ELZEAREST;2015;7;10;PDQ6;2014;;AUTO;QUE;;LACAPITALE;CHEV;CRUZ;Moyen
Collisionmateriellede+de2000;10/07/2015;13/07/2015;10/07/2015;2015;7;AB69;37;LVL150710018;3;12:10:00;37;13/07/2015;65005;3;2;1925;QUE;;BOULEV;INDUSTRIEL;;2015;7;10;PDQ3;2012;ARG;AUTO;QUE;;;NIDD;VERS;Moyen
DelitdefuiteCSR;10/07/2015;16/07/2015;09/07/2015;2015;7;CE82;55;LVL150710026;4;;55;16/07/2015;65005;1;1;2675;QUE;;BOULEV;DESOISEAUX;;2015;7;10;PDQ5;;;;;;;;;
DelitdefuiteCSR;10/07/2015;31/07/2015;10/07/2015;2015;7;DH94;67;LVL150710024;3;;67;31/07/2015;65005;1;1;5555;QUE;;BOULEV;DESLAURENTIDES;;2015;7;10;PDQ6;;;;;;;;;
Collisionavecblesse;10/07/2015;11/07/2015;10/07/2015;2015;7;AB70;45;LVL150710051;1;19:02:00;45;11/07/2015;65005;6;3;7890;QUE;;BOULEV;ARTHUR-SAUVE;;2015;7;10;PDQ4;2008;;AUTO;QUE;;DESJARDINS;HOND;;Grand
Collisionavecblesse;10/07/2015;11/07/2015;10/07/2015;2015;7;CE83;45;LVL150710051;1;19:02:00;45;11/07/2015;65005;6;3;7890;QUE;;BOULEV;ARTHUR-SAUVE;;2015;7;10;PDQ4;2010;;AUTO;QUE;;SSQASSURANCES;MAZD;;Moyen
Collisionavecblesse;10/07/2015;11/07/2015;10/07/2015;2015;7;DH95;45;LVL150710051;1;19:02:00;45;11/07/2015;65005;6;3;7890;QUE;;BOULEV;ARTHUR-SAUVE;;2015;7;10;PDQ4;2014;;AUTO;QUE;;INTACTASSURANCE;FORD;;Moyen
Collisionavecblesse;10/07/2015;13/07/2015;10/07/2015;2015;7;AB71;34;LVL150710022;5;13:13:00;34;13/07/2015;65005;2;2;0;QUE;BOULEV;BOULEV;DELAVENIR;DUSOUVENIR;2015;7;10;PDQ2;2015;ROU;AUTO;QUE;;;CHEV;TRAX;Petit
Collisionavecblesse;10/07/2015;13/07/2015;10/07/2015;2015;7;CE84;34;LVL150710016;5;11:23:00;34;13/07/2015;65005;5;1;0;QUE;RUE;BOULEV;SAINT-MARTINOUEST;MCNAMARA;2015;7;10;PDQ2;2012;BLU;CAMIO;QUE;CMNET;;FORD;F150;Moyen
Collisionavecblesse;10/07/2015;;10/07/2015;2015;7;DH96;34;LVL150710035;2;16:00:00;34;16/07/2015;65005;3;2;0;QUE;VIADUC;VOIE;DESLAURENTIDESA-15;SAINT-MARTINOUEST;2015;7;10;PDQ2;1998;;AUTO;QUE;;;FORD;ESCO;Moyen
Collisionavecblesse;10/07/2015;;10/07/2015;2015;7;AB72;34;LVL150710035;2;16:00:00;34;16/07/2015;65005;3;2;0;QUE;VIADUC;VOIE;DESLAURENTIDESA-15;SAINT-MARTINOUEST;2015;7;10;PDQ2;2013;;AUTO;QUE;;;AUDI;A4;Moyen
Collisionmateriellede+de2000;10/07/2015;13/07/2015;10/07/2015;2015;7;CE85;58;LVL150710034;2;15:15:00;58;13/07/2015;65005;5;3;0;QUE;AVENUE;VOIE;DESLAURENTIDESA-15;CURE-LABELLE;2015;7;10;PDQ5;2002;;MOTO;QUE;;LaCapitale;Harl;;Moyen
Collisionmateriellede+de2000;10/07/2015;13/07/2015;10/07/2015;2015;7;CE67;58;LVL150710034;2;15:15:00;58;13/07/2015;65005;5;3;0;QUE;AVENUE;VOIE;DESLAURENTIDESA-15;CURE-LABELLE;2015;7;10;PDQ5;2011;;AUTO;QUE;;Intactassurance;Dodg;;Moyen
Collisionmateriellede+de2000;10/07/2015;13/07/2015;10/07/2015;2015;7;DH79;58;LVL150710034;2;15:15:00;58;13/07/2015;65005;5;3;0;QUE;AVENUE;VOIE;DESLAURENTIDESA-15;CURE-LABELLE;2015;7;10;PDQ5;2012;;AUTO;QUE;;SecuriteNationaleMontreal;Hond;;Moyen
Collisionmateriellede+de2000;10/07/2015;11/07/2015;10/07/2015;2015;7;AB55;38;LVL150710058;1;21:20:00;38;11/07/2015;65005;2;2;3238;QUE;;VOIE;LAVALOUESTA-440;;2015;7;10;PDQ3;1999;;AUTO;QUE;;WAWANESSA;TOYO;;Moyen
Collisionmateriellede+de2000;10/07/2015;11/07/2015;10/07/2015;2015;7;CE68;38;LVL150710058;1;21:20:00;38;11/07/2015;65005;2;2;3238;QUE;;VOIE;LAVALOUESTA-440;;2015;7;10;PDQ3;2013;;AUTO;QUE;;SSQASSURANCES;VOLK;;Moyen
Collisionmateriellede+de2000;10/07/2015;13/07/2015;10/07/2015;2015;7;DH80;37;LVL150710018;3;12:10:00;37;13/07/2015;65005;3;2;1925;QUE;;BOULEV;INDUSTRIEL;;2015;7;10;PDQ3;2009;GRI;CAMIO;QUE;CMNET;;TOYO;HIGH;Moyen
Collisionavecblesse;10/07/2015;13/07/2015;10/07/2015;2015;7;AB56;34;LVL150710022;5;13:13:00;34;13/07/2015;65005;2;2;0;QUE;BOULEV;BOULEV;DELAVENIR;DUSOUVENIR;2015;7;10;PDQ2;2011;GRI;AUTO;QUE;;;HYUN;ELAN;Petit
DelitdefuiteCSR;09/07/2015;12/07/2015;09/07/2015;2015;7;DH70;22;LVL150709081;1;23:09:00;22;12/07/2015;65005;1;2;0;QUE;RUE;BOULEV;DELACONCORDEEST;SAINT-HUBERT;2015;7;9;PDQ2;;;;;;;;;
DelitdefuiteCSR;09/07/2015;28/07/2015;08/07/2015;2015;7;AB46;21;LVL150709018;4;19:00:00;21;28/07/2015;65005;1;1;130;QUE;;RUE;DONCK;;2015;7;9;PDQ2;;;;;;;;;
DelitdefuiteCSR;09/07/2015;16/07/2015;09/07/2015;2015;7;CE59;63;LVL150709050;;15:00:00;63;16/07/2015;65005;1;1;5205;QUE;;BOULEV;ROBERT-BOURASSA;;2015;7;9;PDQ6;;;;;;;;;
DelitdefuiteCSR;09/07/2015;17/07/2015;08/07/2015;2015;7;DH71;12;LVL150709024;;21:00:00;12;17/07/2015;65005;1;1;7380;QUE;;RUE;DESPIGEONS;;2015;7;9;PDQ1;;;;;;;;;
Collisionavecblesse;09/07/2015;11/07/2015;09/07/2015;2015;7;AB47;52;LVL150709002;2;00:40:00;52;11/07/2015;65005;2;1;0;QUE;BOULEV;BOULEV;CURE-LABELLE;SAINT-ELZEAROUEST;2015;7;9;PDQ5;2011;;CAMIO;QUE;;SSQASSURANCES;LAND;;Moyen
Collisionmateriellede2000et-;09/07/2015;17/07/2015;09/07/2015;2015;7;CE27;47;LVL150709053;;17:53:00;47;17/07/2015;65005;3;2;1098;QUE;;AVENUE;31E;;2015;7;9;PDQ4;2012;;AUTO;QUE;;;MAZD;3;Moyen
DelitdefuiteCSR;09/07/2015;18/07/2015;09/07/2015;2015;7;DH39;52;LVL150709001;2;23:42:00;52;18/07/2015;65005;2;1;0;QUE;BOULEV;BOULEV;CURE-LABELLE;CHOMEDEY;2015;7;9;PDQ5;;;;;;;;;
Collisionavecblesse;09/07/2015;10/07/2015;09/07/2015;2015;7;AB15;33;LVL150709025;5;;33;10/07/2015;65005;4;2;0;QUE;AVENUE;BOULEV;NOTRE-DAME;CLARENDON;2015;7;9;PDQ3;2005;;AUTO;QUE;;;NISS;;Moyen
Collisionavecblesse;09/07/2015;10/07/2015;09/07/2015;2015;7;CE28;33;LVL150709025;5;;33;10/07/2015;65005;4;2;0;QUE;AVENUE;BOULEV;NOTRE-DAME;CLARENDON;2015;7;9;PDQ3;2005;;LOURD;QUE;;;MACK;;Moyen
Collisionmateriellede2000et-;09/07/2015;17/07/2015;09/07/2015;2015;7;DH40;47;LVL150709053;;17:53:00;47;17/07/2015;65005;3;2;1098;QUE;;AVENUE;31E;;2015;7;9;PDQ4;2008;;AUTO;QUE;;;bmw;x;Moyen
DelitdefuiteCSR;08/07/2015;28/07/2015;08/07/2015;2015;7;AB16;34;LVL150708088;;;34;28/07/2015;65005;1;1;332;QUE;;RUE;VALLEE;;2015;7;8;PDQ2;;;;;;;;;
